time_hours,type_i,type_ia,type_ii,type_iii
20.3,0.93821,0.92004,0.95588,0.96085
20.4,0.94024,0.92247,0.95716,0.96211
20.5,0.94225,0.92489,0.95844,0.96336
20.6,0.94424,0.92729,0.95971,0.9646
20.7,0.94621,0.92968,0.96098,0.96582
20.8,0.94816,0.93206,0.96224,0.96704
20.9,0.95009,0.93442,0.9635,0.96824
21.0,0.952,0.93676,0.96475,0.96944
21.1,0.95389,0.93909,0.966,0.97062
21.2,0.95576,0.9414,0.96724,0.97179
21.3,0.95761,0.9437,0.96848,0.97295
21.4,0.95944,0.94598,0.96971,0.9741
21.5,0.96125,0.94825,0.97094,0.97523
21.6,0.96304,0.9505,0.97216,0.97636
21.7,0.96481,0.95274,0.97338,0.97747
21.8,0.96656,0.95496,0.97459,0.97858
21.9,0.96829,0.95717,0.9758,0.97967
22.0,0.97,0.95936,0.977,0.98075
22.1,0.97169,0.96154,0.9782,0.98182
22.2,0.97336,0.9637,0.97939,0.98288
22.3,0.97501,0.96584,0.98058,0.98392
22.4,0.97664,0.96797,0.98176,0.98496
22.5,0.97825,0.97009,0.98294,0.98598
22.6,0.97984,0.97219,0.98411,0.987
22.7,0.98141,0.97428,0.98528,0.988
22.8,0.98296,0.97635,0.98644,0.98899
22.9,0.98449,0.9784,0.9876,0.98997
23.0,0.986,0.98044,0.98875,0.99094
23.1,0.98749,0.98246,0.9899,0.99189
23.2,0.98896,0.98447,0.99104,0.99284
23.3,0.99041,0.98647,0.99218,0.99377
23.4,0.99184,0.98845,0.99331,0.9947
23.5,0.99325,0.99041,0.99444,0.99561
23.6,0.99464,0.99236,0.99556,0.99651
23.7,0.99601,0.99429,0.99668,0.9974
23.8,0.99736,0.99621,0.99779,0.99828
23.9,0.99869,0.99811,0.9989,0.99914
24.0,1.0,1.0,1.0,1.0
